source,RandomForestRegressor,LinearRegression,PolynomialRegression,GradientBoostingRegressor,AdaBoostRegressor,XGBRegressor,MLPRegressor,ElasticNet,KNeighborsRegressor,CatBoostRegressor,LGBMRegressor,SVR
ms,0.03542722656192825,0.03788609215410383,0.03602223495875205,0.0344459932576024,0.03762335251518922,0.03428638609213368,0.03788254379501826,0.03788604891544966,0.039552589996701075,0.03411508935219462,0.034691451866626186,0.03992663878392064
rs,0.3839724112007752,0.5262882027633146,0.47300538443154905,0.40278564914464654,0.4429592711064426,0.4013312196799678,0.4821487867624936,0.5262907101379596,0.43540168044427124,0.3879866047211364,0.3835844615053361,0.7080645516722515
rn,0.052009197078447526,0.06094888867456996,0.055952761103993644,0.051226294710391716,0.05416614496761676,0.05268824476421393,0.2856943922428913,0.060944030009766406,0.05699313301137486,0.05128120532294175,0.05272190336034741,0.06574407146948916
mt,0.03615518772539307,0.04192104020371534,0.03998458183819885,0.03478018191539399,0.03773950778954218,0.03470513718944594,0.04535820111598023,0.041921456310660646,0.039491300832272286,0.03458296915581705,0.03467334846824302,0.04489283833439122
pi,0.03880847888844425,0.04579276729092212,0.042182596893354865,0.03824043491690469,0.04232476571447357,0.03795804063107941,0.08405007336634812,0.04579595177230898,0.0421219792272354,0.03749049031189585,0.038581611453687034,0.049395825916204894
es,0.03787656520147459,0.039489863918705514,0.037992635044665615,0.036115930912972445,0.054915621916710455,0.035807109370450625,0.039174742663382174,0.03949216332024204,0.04135284281435243,0.03572780178583827,0.03656592153377021,0.0429321097016162
rr,0.26164125162303703,0.2620958174171578,0.26130298005312563,0.26065122811385916,0.26730484343596944,0.25991859366155784,0.26513585613254764,0.2620916385550377,0.3003226279893192,0.2597282227807884,0.2634336053062989,0.28638872612321253
rj,0.7050307956997321,1.018581504338409,0.9310372958091575,0.7178025141700808,0.9361567659746445,0.7074852161897277,1.038069704517729,1.0185933382383843,0.7501681914939086,0.6873552880564706,0.6994706829856976,1.2577797087380416
am,0.044489993659827344,0.04882720896287879,0.04835672897375684,0.04386102219750133,0.05409906407046611,0.04337815145759336,0.04961663616222348,0.0488245208298769,0.04988742710788286,0.043209615630669586,0.043720958904421146,0.050889843899238216
to,0.04423905863637548,0.05478835665362363,0.0513596055679587,0.042389219685301203,0.04964925971739805,0.04208651569372922,0.0863351573583893,0.0547824746381552,0.04863420337245196,0.04209151964865012,0.04251639437905591,0.0568443734747051
ro,0.03863184351431912,0.04225280905661928,0.03948634429709631,0.036719872394472976,0.043307637702521905,0.036745626668725606,0.19200985435794954,0.04225507558218672,0.042097867079497205,0.036745434787169906,0.03756476244259518,0.04556610525965056
pr,0.49852073066027147,0.7124862295059465,0.5923301961831641,0.5082856960096146,0.5902019185030628,0.49849689717840473,0.6431078294297855,0.7124932830163032,0.5426637476206937,0.4845218056459187,0.4898726869390242,0.9265052710321753
